molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,bioactivity_class,MW,LogP,HBD,HBA
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,100.0,nM,7.00,active,495.9460000000001,3.5295200000000007,3.0,6.0
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,750.0,nM,6.12,active,495.9460000000001,3.5295200000000007,3.0,6.0
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,18.0,nM,7.75,active,497.5590000000004,2.3927199999999997,4.0,7.0
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,40.0,nM,7.40,active,497.5590000000004,2.3927199999999997,4.0,7.0
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,620.0,nM,6.21,active,497.5590000000004,2.3927199999999997,4.0,7.0
CHEMBL57712,N#CC(C#N)=Cc1cc[n+]([O-])cc1,1300000.0,nM,,inactive,171.15899999999996,0.75056,0.0,3.0
CHEMBL77869,COc1cc(C=C(C#N)C#N)ccc1O,200000.0,nM,,inactive,200.197,1.8313599999999997,1.0,4.0
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,nM,8.92,active,511.9890000000001,4.213520000000002,4.0,6.0
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,200.0,nM,6.70,active,511.9890000000001,4.213520000000002,4.0,6.0
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,200.0,nM,6.70,active,292.34600000000006,4.090720000000002,2.0,5.0
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,39.0,nM,7.41,active,357.2150000000001,4.544800000000002,2.0,5.0
CHEMBL137027,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,482.0,nM,6.32,active,306.373,3.802200000000002,1.0,5.0
CHEMBL78257,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800.0,nM,6.10,active,268.23199999999997,0.9703399999999998,4.0,7.0
CHEMBL76082,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,560000.0,nM,,inactive,243.17799999999994,1.7540600000000002,0.0,6.0
CHEMBL77595,N#C/C(=C\c1ccccc1)C(=O)O,850000.0,nM,,inactive,173.17099999999996,1.6781799999999996,1.0,2.0
CHEMBL310514,N#CC(C#N)=Cc1ccc[nH]1,260000.0,nM,,inactive,143.14899999999997,1.4452599999999998,1.0,2.0
CHEMBL304971,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,410.0,nM,6.39,active,495.9460000000002,3.5295200000000007,3.0,6.0
CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.9,nM,8.23,active,509.97300000000024,3.9643200000000016,4.0,6.0
CHEMBL137534,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,38.0,nM,7.42,active,414.3110000000001,4.476600000000003,2.0,6.0
CHEMBL137788,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,335.0,nM,6.47,active,292.34600000000006,3.650800000000002,2.0,5.0
CHEMBL69709,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,20000.0,nM,,inactive,397.84100000000007,4.4746400000000035,2.0,4.0
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,25.0,nM,7.60,active,433.31300000000016,6.115200000000003,2.0,5.0
CHEMBL78150,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,460000.0,nM,,inactive,282.387,4.417760000000005,1.0,3.0
CHEMBL69106,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,20000.0,nM,,inactive,355.76000000000005,3.8335000000000017,3.0,4.0
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,nM,8.96,active,602.6990000000002,4.4144200000000025,4.0,7.0
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,200.0,nM,6.70,active,602.6990000000002,4.4144200000000025,4.0,7.0
CHEMBL308133,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,1500000.0,nM,,inactive,208.16899999999998,0.9448000000000001,3.0,3.0
CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,160000.0,nM,,inactive,245.194,1.73956,1.0,6.0
CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180.0,nM,6.75,active,455.8770000000003,4.467540000000002,4.0,5.0
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,450.0,nM,6.35,active,511.9890000000001,4.213520000000002,4.0,6.0
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,500.0,nM,6.30,active,511.9890000000001,4.213520000000002,4.0,6.0
CHEMBL133023,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,24.0,nM,7.62,active,306.3730000000001,4.2421200000000026,1.0,5.0
CHEMBL310400,N#CC(C#N)=Cc1cccc(O)c1,375000.0,nM,,inactive,170.17099999999996,1.8227599999999997,1.0,3.0
CHEMBL136674,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,71.0,nM,7.15,active,401.2680000000001,4.561400000000003,2.0,6.0
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,25000.0,nM,4.60,inactive,205.16899999999998,1.0893799999999998,3.0,4.0
CHEMBL79064,N#CC(C#N)=C(O)c1ccc(O)cc1,230000.0,nM,,inactive,186.17,1.7084599999999999,2.0,4.0
CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,500.0,nM,6.30,active,331.129,2.027240000000001,3.0,6.0
CHEMBL75718,N#C/C=C/c1ccc(O)cc1,2400000.0,nM,,inactive,145.161,1.9289799999999997,1.0,2.0
CHEMBL77298,COc1cc(C=C(C#N)C#N)cc(Br)c1O,153000.0,nM,,inactive,279.093,2.5938600000000007,1.0,4.0
CHEMBL420609,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,nM,,inactive,366.4170000000002,3.4120000000000017,3.0,3.0
CHEMBL419682,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,100000.0,nM,,inactive,370.45200000000017,5.061800000000003,2.0,2.0
CHEMBL88462,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,370.4520000000002,5.061800000000003,2.0,2.0
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,56500.0,nM,4.25,inactive,380.4000000000002,3.101600000000002,4.0,3.0
CHEMBL91250,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,294.3540000000001,3.394800000000002,2.0,2.0
CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,100000.0,nM,,inactive,412.48900000000026,5.070400000000004,3.0,2.0
